46,Dignity Health St. John's Regional Medical Center,31-CA-286129,Oxnard,CA,11/10/2021,,"Region 31, Los Angeles, California",Open,,
47,"BOB'S DISCOUNT FURNITURE STORES, LLC",01-CA-286115,Manchester,NH,11/10/2021,,"Region 01, Boston, Massachusetts",Open,,
48,Dollar General,01-CA-286021,Barkhamsted,CT,11/10/2021,,"Region 01, Boston, Massachusetts",Open,,
49,"Keck Medicine of USC, Ambulatory Care, Cardiovasular Medicine Clinic",21-RC-286072,Los Angeles,CA,11/10/2021,,"Region 21, Los Angeles, California",Open,,
50,"Stephens Media Group - Massena, LLC",03-CB-285980,Massena,NY,11/10/2021,,"Region 03, Buffalo, New York",Open,,
51,"Foodlink, Inc.",03-CA-285978,Rochester,NY,11/10/2021,,"Region 03, Buffalo, New York",Open,,
52,The Wavecrest Management Team LTD/Brook Ave Owner LLC,02-RC-286040,Bronx,NY,11/10/2021,,"Region 02, New York, New York",Open,,
53,"Transdev Services Inc., San Diego Division",21-CA-286089,El Cajon,CA,11/10/2021,,"Region 21, Los Angeles, California",Open,,
54,Hamilton College,03-RC-286024,Clinton,NY,11/10/2021,,"Region 03, Buffalo, New York",Open,,
55,SpArc Philadelphia,04-CA-286042,Philadelphia,PA,11/10/2021,,"Region 04, Philadelphia, Pennsylvania",Open,,
56,United Rentals d/b/a Norris Sales,04-RC-286030,Conshohocken,PA,11/10/2021,,"Region 04, Philadelphia, Pennsylvania",Open,,
57,IAM 751 (The Boeing Company),19-CB-286121,Seattle,WA,11/10/2021,,"Region 19, Seattle, Washington",Open,,
58,White Dove Mattress,08-CA-286027,Newburgh Heights,OH,11/10/2021,,"Region 08, Cleveland, Ohio",Open,,
59,United States Postal Service,10-CA-286061,Raleigh,NC,11/10/2021,,"Region 10, Atlanta, Georgia",Open,,
60,Tulsa Police Department,14-CA-286067,Tulsa,OK,11/10/2021,,"Region 14, Saint Louis, Missouri",Open,,
61,ILA Local 1402 [Longshoremen],12-CB-286033,Tampa,FL,11/10/2021,,"Region 12, Tampa, Florida",Open,,
62,"Host Terminals, LLC and PES Administrative Services as joint employers",04-CA-286082,Philadelphia,PA,11/10/2021,,"Region 04, Philadelphia, Pennsylvania",Open,,
63,WAI Construction Group LLC,10-RC-286018,Huntsville,AL,11/10/2021,,"Region 10, Atlanta, Georgia",Open,,
64,The Wave Crest Management Team LTD/West 144 Owner LLC,02-RC-286045,New York,NY,11/10/2021,,"Region 02, New York, New York",Open,,
65,The Wavecrest Management Team LTD/2340 Beaumont Owner LLC,02-RC-286035,Bronx,NY,11/10/2021,,"Region 02, New York, New York",Open,,
66,"Voodoo Doughnut, LLC",19-CA-286050,Portland,OR,11/10/2021,,"Region 19, Seattle, Washington",Open,,
67,United States Postal Service,14-CA-286012,Kansas City,KS,11/10/2021,,"Region 14, Saint Louis, Missouri",Open,,
68,Consolidated Edison of New York,02-CA-286090,Manhattan,NY,11/10/2021,,"Region 02, New York, New York",Open,,
69,"Gulf to Bay Donuts, Inc.",12-CA-286051,Clearwater,FL,11/10/2021,,"Region 12, Tampa, Florida",Open,,
70,45 Martense Street Owners Corp. and Maxx Properties,02-CA-285972,Harrison,NY,11/10/2021,,"Region 02, New York, New York",Open,,
71,Schnucks,14-CA-286063,Kinloch,MO,11/10/2021,,"Region 14, Saint Louis, Missouri",Open,,
72,Pan American Grain Manufacturing Inc.,12-CA-286079,Guaynabo,PR,11/10/2021,,"Region 12, Tampa, Florida",Open,,
73,The Wavecrest Management Team LTD/Cranford Owner LLC,02-RC-286046,Bronx,NY,11/10/2021,,"Region 02, New York, New York",Open,,
74,Zenith American Solutions,19-CA-286123,Bothell,WA,11/10/2021,,"Region 19, Seattle, Washington",Open,,
75,SAINT VINCENT HOSPTIAL,01-CA-286085,Worcester,MA,11/10/2021,,"Region 01, Boston, Massachusetts",Open,,
76,ZF North America Inc.,25-CA-286013,Lafayette,IN,11/10/2021,,"Region 25, Indianapolis, Indiana",Open,,
77,Sun Chemical Corporation,25-CA-286058,Kankakee,IL,11/10/2021,,"Region 25, Indianapolis, Indiana",Open,,
78,"3H Group, Inc.",12-CA-286047,Altamonte Springs,FL,11/10/2021,,"Region 12, Tampa, Florida",Open,,
79,SpArc Philadelphia,04-CA-286056,Philadelphia,PA,11/10/2021,,"Region 04, Philadelphia, Pennsylvania",Open,,
80,Stellantis - Sterling Stamping Plant,07-CA-286083,Sterling Heights,MI,11/10/2021,,"Region 07, Detroit, Michigan",Open,,
81,United States Postal Service,15-CA-286066,Baton Rouge,LA,11/10/2021,,"Region 15, New Orleans, Louisiana",Open,,
82,Albertsons,27-RC-286011,Idaho Falls,ID,11/10/2021,,"Region 27, Denver, Colorado",Open,,
83,Teamsters Local 610 (Schnucks),14-CB-286064,Kinloch,MO,11/10/2021,,"Region 14, Saint Louis, Missouri",Open,,
84,2601 Glenwood Road Owners Corp. and Maxx Properties,02-CA-285997,Harrison,NY,11/10/2021,,"Region 02, New York, New York",Open,,
85,"Regional Ready Mix, LLC",25-CA-286054,Rochelle,IL,11/10/2021,,"Region 25, Indianapolis, Indiana",Open,,
86,Hatalom Corporation,31-CA-286130,Twentynine Palms,CA,11/10/2021,,"Region 31, Los Angeles, California",Open,,
87,"Pan American Grain Company, Inc.",12-CA-286080,Guaynabo,PR,11/10/2021,,"Region 12, Tampa, Florida",Open,,
88,"Express Scripts, Inc.",04-CA-286117,Florence,NJ,11/10/2021,,"Region 04, Philadelphia, Pennsylvania",Open,,
89,The National Collegiate Athletic Association,25-CA-286101,Indianapolis,IN,11/10/2021,,"Region 25, Indianapolis, Indiana",Open,,
90,North Carolina Association of Educators,10-CA-286077,Raleigh,NC,11/10/2021,,"Region 10, Atlanta, Georgia",Open,,
91,Schnucks,14-CA-286060,Kinloch,MO,11/10/2021,,"Region 14, Saint Louis, Missouri",Open,,
92,Precision Vehicle Logistics,08-CA-286055,Sheffield,OH,11/10/2021,,"Region 08, Cleveland, Ohio",Open,,
93,Los Angeles Opera Company,21-RC-286032,Los Angeles,CA,11/10/2021,,"Region 21, Los Angeles, California",Open,,
94,National Postal Mail Handlers Union Local 317 (United State Postal Service),10-CB-286053,Birmingham,AL,11/10/2021,,"Region 10, Atlanta, Georgia",Open,,
95,Willow Crest Nursing Pavilion,25-CA-286075,Sandwich,IL,11/10/2021,,"Region 25, Indianapolis, Indiana",Open,,
96,Sutter Care at Home (SCAH),32-RC-286112,Alameda,CA,11/10/2021,,"Region 32, Oakland, California",Open,,
97,"Chicago & Midwest Regional Jt Board, Local 3121 (TJX, Companies -HomeGoods Distribution Center)",08-CB-286038,Warren,OH,11/10/2021,,"Region 08, Cleveland, Ohio",Open,,
98,Teamsters Local 610 (Schnucks),14-CB-286062,Kinloch,MO,11/10/2021,,"Region 14, Saint Louis, Missouri",Open,,
99,385 Argyle Road Owners Corp. and Maxx Properties,02-CA-285985,Harrison,NY,11/10/2021,,"Region 02, New York, New York",Open,,
100,Kaiser Foundation Hospitals,21-CA-286141,Moreno Valley,CA,11/10/2021,,"Region 21, Los Angeles, California",Open,,
101,Eaton Aerospace,15-CA-286031,Jackson,MS,11/10/2021,,"Region 15, New Orleans, Louisiana",Open,,
102,"Flamingo Las Vegas Operating Company, LLC d/b/a Flamingo Las Vegas",28-CA-286136,Las Vegas,NV,11/10/2021,,"Region 28, Phoenix, Arizona",Open,,
103,"Saputo Dairy Foods USA, LLC",03-CA-286001,Friendship,NY,11/10/2021,,"Region 03, Buffalo, New York",Open,,
104,COCA COLA CONSOLIDATED,09-CA-286125,Erlanger,KY,11/10/2021,,"Region 09, Cincinnati, Ohio",Open,,
105,Gonzales Consulting Services Inc.,05-CA-286146,Washington,DC,11/10/2021,,"Region 05, Baltimore, Maryland",Open,,
106,EMERSON COLONIAL THEATRE,01-CA-286093,Boston,MA,11/10/2021,,"Region 01, Boston, Massachusetts",Open,,
107,Starbucks Corporation,03-RC-285989,Depew,NY,11/10/2021,,"Region 03, Buffalo, New York",Open,,
108,"Keck Medicine of USC, Ambulatory Care, CVTI Diagnostic Department",21-RC-286070,Los Angeles,CA,11/10/2021,,"Region 21, Los Angeles, California",Open,,
109,Communitas Group,19-RC-286009,Bremerton,WA,11/09/2021,,"Region 19, Seattle, Washington",Open,,
110,Good Samaritan Home Care - Member of Westchester Medical Center Health Network,02-CA-285974,Middletown,NY,11/09/2021,,"Region 02, New York, New York",Open,,
111,D H Griffin Wrecking Co.,10-CA-285921,Drakesboro,KY,11/09/2021,,"Region 10, Atlanta, Georgia",Open,,
112,Johnson Controls,05-CA-285946,York,PA,11/09/2021,,"Region 05, Baltimore, Maryland",Open,,
113,Starbucks Corporation,03-RC-285929,Cheektowaga,NY,11/09/2021,,"Region 03, Buffalo, New York",Open,,
114,SERVICE EMPLOYEES INTERNATIONAL UNION (SEIU) DISTRICT 1199 WV/KY/OH (Cabell Huntington Hospital),09-CB-286048,Huntington,WV,11/09/2021,,"Region 09, Cincinnati, Ohio",Open,,
115,United States Postal Service,25-CA-285926,Springfield,IL,11/09/2021,,"Region 25, Indianapolis, Indiana",Open,,
116,70 Lenox Road Owners Corp. and Maxx Properties,02-CA-286036,Harrison,NY,11/09/2021,,"Region 02, New York, New York",Open,,
117,CSM Corporation d/b/a Hilton Garden Inn,28-CA-286111,Phoenix,AZ,11/09/2021,,"Region 28, Phoenix, Arizona",Open,,
118,Baggage Airline Guest Service Inc. d/b/a BAGS,12-CA-286017,Orlando,FL,11/09/2021,,"Region 12, Tampa, Florida",Open,,
119,"Washington River Protection Solutions, LLC",19-CA-286110,Richland,WA,11/09/2021,,"Region 19, Seattle, Washington",Open,,
120,Yale New Haven Hospital,01-CA-286005,New Haven,CT,11/09/2021,,"Region 01, Boston, Massachusetts",Open,,
121,Republic Steel,08-CA-285959,Canton,OH,11/09/2021,,"Region 08, Cleveland, Ohio",Open,,
122,"WGB, LLC d/b/a Herbology Dispensary",08-RC-285924,Newark,OH,11/09/2021,,"Region 08, Cleveland, Ohio",Open,,
123,Hertz,01-CA-285999,Boston,MA,11/09/2021,,"Region 01, Boston, Massachusetts",Open,,
124,Austin American-Stateman,16-CA-286044,Austin,TX,11/09/2021,,"Region 16, Fort Worth, Texas",Open,,
125,"Foodlink, Inc.",03-CA-285889,Rochester,NY,11/09/2021,,"Region 03, Buffalo, New York",Open,,
126,United States Postal Service,20-CA-286069,West Sacramento,CA,11/09/2021,,"Region 20, San Francisco, California",Open,,
127,"Hanford Mission Integration Solutions, LLC",19-CA-286108,Richland,WA,11/09/2021,,"Region 19, Seattle, Washington",Open,,
128,Valdivia Trucking,20-CA-286039,Santa Rosa,CA,11/09/2021,,"Region 20, San Francisco, California",Open,,
129,"American Postal Workers Union, Houston Area Local (United States Postal Service)",16-CB-285947,Houston,TX,11/09/2021,,"Region 16, Fort Worth, Texas",Open,,
130,SEIU Health Care Michigan (Aberdeen Rehabilitation & Skilled Nursing Center),07-CB-285955,Trenton,MI,11/09/2021,,"Region 07, Detroit, Michigan",Open,,
131,United States Postal Service,16-CA-286057,Houston,TX,11/09/2021,,"Region 16, Fort Worth, Texas",Open,,
132,Desert Sun Publishing LLC,21-CA-286155,Palm Springs,CA,11/09/2021,,"Region 21, Los Angeles, California",Open,,
133,"International Longshoremen's Association, Local 1303 (Ports America, Inc.)",15-CB-285942,Gulfport,MS,11/09/2021,,"Region 15, New Orleans, Louisiana",Open,,
134,United States Postal Service,08-CA-286026,Akron,OH,11/09/2021,,"Region 08, Cleveland, Ohio",Open,,
135,2701 Newkirk Avenue Owners Corp. and Maxx Properties,02-CA-285998,Harrison,NY,11/09/2021,,"Region 02, New York, New York",Open,,
136,"Safeway, Inc.",19-RC-285965,King City,OR,11/09/2021,,"Region 19, Seattle, Washington",Open,,
137,Go Durham,10-CA-285987,Durham,NC,11/09/2021,,"Region 10, Atlanta, Georgia",Open,,
138,Southern California Hospital of Culver City,31-CA-286025,Culver City,CA,11/09/2021,,"Region 31, Los Angeles, California",Open,,
139,"Parkway Pavilion Health & Rehabilitation is a single and join employer with Wachusett Ventures, LLC and Wachusetts Healthcare, LLC",01-CA-285973,Enfield,CT,11/09/2021,,"Region 01, Boston, Massachusetts",Open,,
140,Albertsons LLC,19-RC-285967,Hillsboro,OR,11/09/2021,,"Region 19, Seattle, Washington",Open,,
141,Trader Joe's,03-CA-285981,South Burlington,VT,11/09/2021,,"Region 03, Buffalo, New York",Open,,
142,"Icare Management, LLC is a single a joint employer with Chestnut Care Center, LLC d/b/a Tochpoints at Chestnut",01-CA-286078,East Windsor,CT,11/09/2021,,"Region 01, Boston, Massachusetts",Open,,
143,Lehman College,02-CA-286006,The Bronx,NY,11/09/2021,,"Region 02, New York, New York",Open,,
144,Lieutenant Benevolent Association,02-CB-286022,New York,NY,11/09/2021,,"Region 02, New York, New York",Open,,
145,American Postal Workers Union Local 32 (United States Postal Service),10-CB-286002,Duluth,GA,11/09/2021,,"Region 10, Atlanta, Georgia",Open,,
146,SEIU-USWW Local 1877 (Moscone Convention Center),20-CB-286052,San Francisco,CA,11/09/2021,,"Region 20, San Francisco, California",Open,,
147,Iff,25-CA-285922,Gibson City,IL,11/09/2021,,"Region 25, Indianapolis, Indiana",Open,,
148,United States Postal Service,15-CA-285993,New Orleans,LA,11/09/2021,,"Region 15, New Orleans, Louisiana",Open,,
149,"APT Electrical Contracting, Inc.",04-CA-285918,Fort Washington,PA,11/09/2021,,"Region 04, Philadelphia, Pennsylvania",Open,,
